PM2.5 (µg/m³),PM10 (µg/m³),NO2 (µg/m³),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),AQI
44.02197917,88.77802083,29.82729167,11.39520833,36.27583333,2.326666667,2.3428125,106
39.48791667,64.8403125,23.53510417,11.32114583,24.771875,1.307708333,6.3740625,70
51.11375,78.966875,25.70510417,11.356875,24.2146875,1.329479167,3.4553125,68
55.60364583,81.48864583,21.08104167,11.07229167,22.58604167,1.027708333,5.218333333,74
58.0440625,83.95114583,21.32552083,11.20729167,18.63833333,1.062395833,5.877083333,82
55.727625,83.51988636,15.18934783,10.9165942,14.10565217,0.967355072,11.40699275,80
62.17770833,90.07614583,19.72604167,11.12822917,14.29302083,1.173854167,10.52489583,86
77.33375,113.3288542,30.07458333,11.74552083,18.75125,1.7684375,4.3709375,110
42.04822917,82.7953125,39.54958333,12.50760417,20.2025,2.515104167,3.759166667,106
45.19302083,73.11572917,22.83395833,11.418125,17.43302083,1.909791667,11.70927083,84
55.98458333,69.303,31.8015625,11.7975,19.32166667,2.404791667,4.5221875,86
49.53041667,80.180625,35.66291667,12.0725,19.90677083,2.029270833,4.949270833,73
52.1046875,71.21041667,34.83791667,11.75635417,24.84916667,2.102708333,4.75875,80
47.19552083,67.31229167,35.323125,11.47947917,30.6953125,1.891041667,4.0534375,79
30.24197917,46.2128125,20.8015625,10.84885417,25.31333333,0.84,6.116770833,48
37.46458333,46.68857143,32.4090625,11.84385417,20.569375,0.9790625,5.806770833,47
75.93666667,116.0571429,30.84416667,12.0065625,16.6509375,1.032083333,17.66927083,101
64.2875,117.3797917,36.1928125,12.32677083,16.7953125,1.23625,18.72510417,121
84.77760417,154.9804167,52.21447917,12.233125,25.47958333,2.747291667,5.272604167,117
68.36697917,141.4522917,56.24614583,12.85354167,29.54677083,2.607291667,3.2859375,149
50.64555556,114.0034722,37.54722222,11.09916667,26.26291667,2.499444444,7.974305556,74
54.88166667,115.5378125,37.19177083,10.99958333,32.97197917,2.7984375,2.771770833,101
45.14522727,107.1893182,38.14829545,10.82238636,33.80431818,3.055909091,2.613977273,73
36.515,90.32145833,31.8915625,11.08802083,29.71239583,1.681041667,3.490520833,78
46.28322917,111.1223958,28.90947917,11.0734375,23.1246875,1.171041667,4.259270833,79
29.81677083,63.104375,18.51802083,10.261875,16.39020833,0.669166667,3.3671875,70
