PM2.5 (µg/m³),PM10 (µg/m³),NO2 (µg/m³),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),AQI
16.35,32.7,1.22,3.07,20.51,0.45,9.97,36
17.97,35.94,1.23,2.53,20.79,0.33,8.18,35
18.9,37.81,1.2,2.3,21.17,0.22,10.95,37
17.53,35.06,1.25,2.37,20.92,0.17,10.66,36
16.86,33.72,1.24,2.35,21.15,0.16,9.9,35
16.76,33.5,1.21,2.6,21.14,0.19,8.55,32
20.18,40.36,1.25,2.67,20.93,0.24,11.96,40
16.39,32.77,1.23,3.13,21.13,0.51,8.3,34
12.17,24.36,1.21,2.51,21.15,0.23,9.08,28
12.44,24.83,1.24,3.02,21,0.29,8.54,27
14.13,28.27,1.22,2.96,22.21,0.32,11.13,38
14.24,28.5,1.26,3.05,21.19,0.34,10.25,35
11.45,22.92,1.24,2.35,20.95,0.13,9.67,29
14.99,29.98,1.21,2.42,21.41,0.2,9.4,31
16.92,33.83,1.24,3.74,21.64,0.68,10.4,38
19.7,39.42,1.23,2.41,21.59,0.28,12.33,45
16.64,33.27,1.22,3.2,21.01,0.43,13.33,39
17.96,35.95,1.23,2.66,20.6,0.25,13.75,42
17.37,34.76,1.18,3.63,20.88,0.61,14.61,49
19.96,39.9,1.21,4.03,19.95,0.68,13.76,56
24.67,49.36,1.24,4.42,20.6,1.39,12.61,67
21.94,43.88,1.26,2.74,21.54,0.79,9.16,60
16.07,32.14,1.28,2.4,20.05,0.32,9.86,37
10.4,20.81,1.3,2.67,18.6,0.36,12.59,29
10.8,21.59,1.3,2.46,18.71,0.37,14.27,28
10.21,20.43,1.29,2.78,18.89,0.43,14.41,27
15.5,31.01,1.28,2.69,18.95,0.5,13.96,30
12.71,25.43,1.23,2.47,18.97,0.39,15.6,38
11.09,22.17,1.28,2.32,19.14,0.38,15,29
13.63,27.25,1.32,2.96,19.12,0.58,14.5,32
14.87,29.76,1.24,3.06,19.17,0.45,14.98,39
18.69,37.38,1.28,3.82,19.26,0.98,16.91,44
19.65,39.3,1.32,3,19.71,0.64,11.75,47
13.8,27.6,1.42,3.27,19.84,0.65,9.99,31
14.47,28.93,1.65,3.03,19.52,0.5,9.79,31
15.18,30.36,1.3,2.36,19.61,0.35,12.79,36
5.45,18.99,1.24,2.34,20.05,0.31,12.25,29
3.4,16.71,1.28,2.26,19.79,0.31,11.22,30
,,1.33,2.23,19.96,0.31,7.76,29
34.15,52.96,1.24,3.3,22.79,0.75,7.13,29
30.67,47.59,1.22,3,22.92,0.6,7.11,34
30.53,47.37,1.26,2.54,22.95,0.41,8.86,36
21.27,32.99,2.15,2.51,22.67,0.33,10.2,31
32.91,51.07,3.51,2.61,20.02,0.4,12.15,33
44.76,69.46,4.27,3.56,19.92,0.87,14.01,45
46.52,70.47,2.95,3.04,19.76,0.47,11.2,61
36.56,50.03,1.34,2.31,19.95,0.38,11.35,48
22.45,30.73,1.29,2.2,19.87,0.43,11.5,44
25.55,34.97,1.28,2.08,20.13,0.3,12.66,40
24.05,32.92,1.29,3.11,20.24,0.54,11.29,37
28.37,38.83,1.26,2.79,20.3,0.37,15.04,40
24.22,33.15,1.27,2.39,20.31,0.48,13.99,41
29.98,41.03,1.36,2.76,21.36,0.42,10.46,45
34.4,47.07,1.23,3.11,22.92,0.58,12.34,50
41.62,56.95,1.19,3.1,23.59,0.5,12.67,57
31.72,43.41,1.23,3.03,23.33,0.43,11.06,48
33.32,45.6,1.23,3.3,22.55,0.47,12.44,59
28.13,38.49,1.31,3.31,21.6,0.45,11.92,44
34.27,46.87,1.33,4.26,20.01,1.08,13.15,52
34.73,47.53,1.2,2.94,22.79,0.41,10.63,55
27.56,37.72,1.25,2.62,25.52,0.27,6.52,46
33.86,46.34,1.19,2.62,25.8,0.32,7.04,57
29.08,39.8,1.21,2.71,27.33,0.26,5.95,50
26.4,36.13,1.26,2.17,26.17,0.19,6.93,48
25.54,34.94,1.2,2.1,24.04,0.15,7.64,48
17.23,23.57,1.2,2.19,22.97,0.16,6.59,35
16.69,22.84,1.18,2.39,22.75,0.29,7.88,30
14.27,19.53,1.17,2.42,22.38,0.29,9.52,29
18.36,25.12,1.18,2.45,22.62,0.36,6.92,32
16.82,23.02,1.22,2.22,23.1,0.34,8.25,34
19.32,26.43,1.2,2.54,22.86,0.44,7.4,37
