PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),AQI
50.02,60.02,2.03,1.31,4.2,2.59,21.37,0.44,3.79,0.09,82
66.56,79.88,2.02,1.29,4.17,3.03,21.36,1.01,2.61,0.2,108
68.4,82.08,2.07,1.28,4.21,2.92,21.33,1.41,2.37,0.28,114
76.11,91.33,2.02,1.3,4.18,2.81,21.43,0.89,3.61,0.18,124
66.52,79.82,1.93,1.23,3.97,3.15,24.41,0.86,3.56,0.17,118
74.87,89.84,1.74,1.13,3.59,4.31,30.17,0.99,2.43,0.2,114
95.27,114.33,1.9,1.23,3.93,4.07,25.42,1.73,2.27,0.35,135
79.14,94.96,2.06,1.31,4.23,3.05,21.24,1.56,2.9,0.31,132
37.99,50.03,2.05,1.32,4.24,3.05,21.35,0.79,3.91,0.16,82
33.46,44.62,2.03,1.34,4.23,2.81,21.32,0.64,3.79,0.13,66
42.61,56.82,2.05,1.28,4.2,2.64,21.36,0.98,2.92,0.19,84
42.08,56.11,2.07,1.27,4.19,2.99,21.47,1.49,2.39,0.3,67
50.97,67.96,2.02,1.26,4.13,2.55,21.31,2.04,2.55,0.41,80
46.03,61.38,2.03,1.29,4.17,3,21.27,1.68,2.58,0.34,78
59.48,79.31,2.02,1.33,4.19,2.95,21.36,1.53,2.72,0.31,77
52.06,80.97,2.03,1.23,4.13,3.11,21.97,2.12,3.77,0.51,76
53.11,82.06,2.05,1.28,4.19,2.97,21.43,2.22,3.08,0.44,95
29.41,51.66,2.02,1.29,4.16,2.65,21.42,0.03,4.35,0.01,64
22.92,41.58,2.03,1.32,4.21,2.62,21.36,0,3.42,0,42
25.45,47.04,2.03,1.28,4.16,2.77,21.85,0.14,5.34,0.03,46
28.02,56,2.05,1.35,4.25,2.57,21.32,1.56,2.95,0.31,44
42.63,73.21,2.02,1.31,4.19,2.79,21.31,1.82,2.02,0.36,69
39.02,64.47,2.02,1.33,4.19,3.24,21.4,0.77,3.25,0.16,46
36.88,58.23,2.04,1.32,4.17,2.72,21.23,0.45,3.52,0.09,56
28.42,46.84,2.06,1.26,4.16,2.76,20.61,0.25,3.28,0.05,45
32.31,54.78,2.04,1.28,4.17,3.2,21.2,0.4,3.58,0.08,46
38.5,63.83,2.06,1.27,4.18,3.12,21.32,0.4,4.47,0.08,57
28.21,,2.03,1.33,4.19,3.14,21.28,0.27,3.54,0.05,47
36.91,,1.99,1.35,4.15,3.42,21.28,0.56,3.27,0.11,56
54.6,96.87,2.06,1.44,4.24,3.58,21.74,1.53,3.61,0.31,71
63.57,106.2,2.02,1.37,4.21,3.27,21.47,2.33,2.73,0.47,91
76.49,124.04,2.01,1.36,4.2,2.53,21.56,2.72,2.25,0.74,113
70.36,111.85,2.03,1.33,4.2,2.47,21.6,2.76,1.48,0.73,143
37.82,56.74,2.03,1.26,4.14,2.91,21.65,1.67,1.98,0.33,72
34.19,51.29,2.02,1.31,4.16,2.77,21.62,1.29,1.92,0.26,70
30.94,46.41,2.04,1.32,4.17,2.88,21.63,0.86,2.38,0.17,59
28.18,42.27,2.03,1.29,4.16,2.96,21.61,0.74,1.67,0.15,56
26.6,41.55,2.02,1.31,4.17,3.05,22.04,0.48,2.61,0.1,53
32.17,53.62,2.06,1.34,4.23,2.64,21.57,0.69,1.48,0.14,46
42.64,71.08,2.01,1.31,4.13,2.18,21.89,2.04,1.48,0.41,58
40.03,66.71,2.02,1.31,4.14,1.96,21.68,1.83,1.43,0.36,77
29,48.33,2.01,1.29,4.12,2.51,21.64,0.01,1.12,0,46
23.57,39.28,2.03,1.29,4.14,1.9,21.67,0,1.38,0,50
14.25,23.74,2.05,1.22,4.1,1.96,21.64,0,1.6,0,30
13.07,21.78,2.03,1.27,4.13,2.02,21.73,0,1.52,0,30
