PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),AQI
18.96,37.98,1.86,1.22,3.86,3.72,30.9,0.69,3.57,0.14,44
15.79,31.57,1.95,1.24,4,3.45,21,0.4,2.82,0.08,35
18.65,37.29,1.8,1.05,3.6,3.07,39.76,0.39,4.01,0.08,38
23.98,47.97,1.9,1.25,3.9,4.29,25.96,1.02,5.52,0.21,57
18.73,37.45,2.09,1.49,4.27,3.58,16.07,0.6,6.67,0.12,48
9.85,19.7,2.28,1.63,4.52,3.09,15.85,0.28,3.04,0.06,24
6.94,13.88,2.02,1.29,4.16,3.27,16.15,0.55,2.88,0.11,21
13.89,27.73,1.96,1.21,4.01,3.4,18.22,0.64,3.43,0.13,26
18.07,36.11,2.28,1.54,4.17,3.31,20.15,0.62,4.45,0.12,31
19.4,38.8,1.94,1.22,3.97,3.47,19.94,1.07,5,0.21,34
19.48,38.95,2.38,1.4,4.53,2.72,20.23,0.8,5.49,0.16,45
13.98,27.94,1.92,1.22,3.95,2.83,20.25,0.6,6.36,0.12,29
17.15,34.31,1.95,1.23,3.99,3.72,20.37,1.19,4.56,0.24,32
19.52,39.05,1.94,1.22,3.97,3.28,20.71,0.73,6.14,0.15,38
16.82,33.62,1.95,1.19,3.94,3.26,21.1,0.71,4.49,0.14,32
20.95,41.92,1.93,1.19,3.93,3.68,21.25,0.78,4.86,0.16,46
12.73,25.47,1.93,1.2,3.94,2.41,20.96,0.16,6.26,0.03,30
15.69,31.36,1.95,1.23,4,2.35,19.31,0.11,11.33,0.02,30
17.67,35.36,2.26,1.63,4.53,2.5,18.42,0.21,10.03,0.04,34
16.79,33.56,1.95,1.21,3.97,3.69,20.47,0.66,7.35,0.13,32
20.25,40.5,1.93,1.21,3.95,3.79,20.75,0.87,6.52,0.17,44
18.73,37.28,2.43,1.81,4.7,3.04,20.93,0.47,6.68,0.09,43
17.8,35.6,1.9,1.28,3.97,2.98,20.67,0.4,7.37,0.08,36
16.07,32.14,1.95,1.23,3.99,2.98,20.55,0.36,6.87,0.07,41
13.27,26.55,1.91,1.24,3.94,3.21,20.46,0.48,6.04,0.1,31
13.93,27.85,1.96,1.24,4.02,2.94,20.23,0.36,6.88,0.07,29
17.57,35.13,1.93,1.22,3.96,4.15,20.18,1.15,8.41,0.23,34
13.91,27.84,1.92,1.22,3.95,3.15,20.07,0.57,7.99,0.11,40
14.63,29.28,1.95,1.21,3.97,2.86,20.05,0.39,8.04,0.08,30
16.94,33.86,1.99,1.18,4.01,4.5,20.03,1.02,7.87,0.2,35
13.43,26.88,1.96,1.23,4.02,2.9,20.27,0.44,7.12,0.09,35
16.35,32.7,1.95,1.22,3.98,3.07,20.51,0.45,9.97,0.09,36
17.97,35.94,1.96,1.23,4,2.53,20.79,0.33,8.18,0.07,35
18.9,37.81,1.96,1.2,3.97,2.3,21.17,0.22,10.95,0.04,37
17.53,35.06,1.95,1.25,4.01,2.37,20.92,0.17,10.66,0.03,36
16.86,33.72,1.95,1.24,4,2.35,21.15,0.16,9.9,0.03,35
16.76,33.5,1.92,1.21,3.93,2.6,21.14,0.19,8.55,0.04,32
20.18,40.36,1.94,1.25,4,2.67,20.93,0.24,11.96,0.05,40
16.39,32.77,1.94,1.23,3.98,3.13,21.13,0.51,8.3,0.1,34
12.17,24.36,1.94,1.21,3.95,2.51,21.15,0.23,9.08,0.05,28
12.44,24.83,1.96,1.24,4.01,3.02,21,0.29,8.54,0.06,27
14.13,28.27,1.93,1.22,3.95,2.96,22.21,0.32,11.13,0.06,38
14.24,28.5,1.94,1.26,4,3.05,21.19,0.34,10.25,0.07,35
11.45,22.92,1.95,1.24,4,2.35,20.95,0.13,9.67,0.03,29
14.99,29.98,1.94,1.21,3.95,2.42,21.41,0.2,9.4,0.04,31
16.92,33.83,1.95,1.24,4.01,3.74,21.64,0.68,10.4,0.14,38
19.7,39.42,1.96,1.23,4.01,2.41,21.59,0.28,12.33,0.06,45
16.64,33.27,1.92,1.22,3.95,3.2,21.01,0.43,13.33,0.09,39
17.96,35.95,1.94,1.23,3.98,2.66,20.6,0.25,13.75,0.05,42
17.37,34.76,1.95,1.18,3.94,3.63,20.88,0.61,14.61,0.12,49
19.96,39.9,1.96,1.21,3.99,4.03,19.95,0.68,13.76,0.14,56
24.67,49.36,1.92,1.24,3.97,4.42,20.6,1.39,12.61,0.3,67
21.94,43.88,1.91,1.26,3.97,2.74,21.54,0.79,9.16,0.16,60
16.07,32.14,1.94,1.28,4.04,2.4,20.05,0.32,9.86,0.06,37
10.4,20.81,1.98,1.3,4.12,2.67,18.6,0.36,12.59,0.07,29
10.8,21.59,1.97,1.3,4.1,2.46,18.71,0.37,14.27,0.07,28
10.21,20.43,1.95,1.29,4.06,2.78,18.89,0.43,14.41,0.09,27
15.5,31.01,2,1.28,4.11,2.69,18.95,0.5,13.96,0.1,30
12.71,25.43,1.97,1.23,4.02,2.47,18.97,0.39,15.6,0.08,38
11.09,22.17,1.97,1.28,4.07,2.32,19.14,0.38,15,0.08,29
13.63,27.25,1.99,1.32,4.14,2.96,19.12,0.58,14.5,0.12,32
